0	1	-9.25	-9.84	0.30	1	-8.90	-9.63
0	1.5	-8.81	-9.57	0.30	1.5	-8.44	-9.29
0	2	-8.53	-9.37	0.30	2	-8.14	-9.08
0	2.5	-8.33	-9.21	0.30	2.5	-7.92	-8.88
0	3	-8.17	-9.08	0.30	3	-7.74	-8.72
0	3.5	-8.01	-8.92	0.30	3.5	-7.61	-8.61
0	4	-7.87	-8.79	0.30	4	-7.49	-8.51
0	4.5	-7.75	-8.67	0.30	4.5	-7.39	-8.42
0	5	-7.64	-8.56	0.30	5	-7.30	-8.34
0	5.5	-7.55	-8.48	0.30	5.5	-7.21	-8.26
0	6	-7.46	-8.41	0.30	6	-7.12	-8.18
0	6.5	-7.39	-8.35	0.30	6.5	-7.05	-8.11
0	7	-7.32	-8.29	0.30	7	-6.98	-8.05
0	7.5	-7.25	-8.23	0.30	7.5	-6.91	-7.99
0	8	-7.19	-8.18	0.30	8	-6.78	-7.87
0	8.5	-7.13	-8.12	0.30	8.5	-6.78	-7.87
0	9	-7.07	-8.07	0.30	9	-6.72	-7.82
0	9.5	-7.02	-8.02	0.30	9.5	-6.67	-7.77
0	10	-6.97	-7.97	0.30	10	-6.61	-7.72

